gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,arenaId,attendance,gameType,tournamentRound
22400418,2024-12-26 22:00:00,Sacramento,Kings,1610612758,Detroit,Pistons,1610612765,113,114,1610612765,,17832.0,,
22400417,2024-12-26 22:00:00,Portland,Trail Blazers,1610612757,Utah,Jazz,1610612762,122,120,1610612757,,16934.0,,
22400416,2024-12-26 20:00:00,New Orleans,Pelicans,1610612740,Houston,Rockets,1610612745,111,128,1610612745,,16052.0,,
22400415,2024-12-26 20:00:00,Milwaukee,Bucks,1610612749,Brooklyn,Nets,1610612751,105,111,1610612751,,17957.0,,
22400414,2024-12-26 20:00:00,Memphis,Grizzlies,1610612763,Toronto,Raptors,1610612761,155,126,1610612763,,17196.0,,
22400413,2024-12-26 19:30:00,Atlanta,Hawks,1610612737,Chicago,Bulls,1610612741,141,133,1610612737,,17760.0,,
22400412,2024-12-26 19:00:00,Washington,Wizards,1610612764,Charlotte,Hornets,1610612766,113,110,1610612764,,17193.0,,
22400411,2024-12-26 19:00:00,Orlando,Magic,1610612753,Miami,Heat,1610612748,88,89,1610612748,,18846.0,,
22400410,2024-12-26 19:00:00,Indiana,Pacers,1610612754,Oklahoma City,Thunder,1610612760,114,120,1610612760,,17274.0,,
22400409,2024-12-25 22:30:00,Phoenix,Suns,1610612756,Denver,Nuggets,1610612743,110,100,1610612756,,17071.0,,
22400408,2024-12-25 20:00:00,Golden State,Warriors,1610612744,Los Angeles,Lakers,1610612747,113,115,1610612747,,18064.0,,
22400407,2024-12-25 17:00:00,Boston,Celtics,1610612738,Philadelphia,76ers,1610612755,114,118,1610612755,,19156.0,,
22400406,2024-12-25 14:30:00,Dallas,Mavericks,1610612742,Minnesota,Timberwolves,1610612750,99,105,1610612750,,20341.0,,
22400405,2024-12-25 12:00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,117,114,1610612752,,19812.0,,
22400404,2024-12-23 22:30:00,Los Angeles,Lakers,1610612747,Detroit,Pistons,1610612765,114,117,1610612765,,18997.0,,
22400403,2024-12-23 22:00:00,Golden State,Warriors,1610612744,Indiana,Pacers,1610612754,105,111,1610612754,,18064.0,,
22400402,2024-12-23 22:00:00,Denver,Nuggets,1610612743,Phoenix,Suns,1610612756,117,90,1610612743,,19910.0,,
22400401,2024-12-23 20:30:00,Dallas,Mavericks,1610612742,Portland,Trail Blazers,1610612757,132,108,1610612742,,20225.0,,
22400400,2024-12-23 20:00:00,Oklahoma City,Thunder,1610612760,Washington,Wizards,1610612764,123,105,1610612760,,18203.0,,
22400399,2024-12-23 20:00:00,Memphis,Grizzlies,1610612763,Los Angeles,Clippers,1610612746,110,114,1610612746,,17265.0,,
22400398,2024-12-23 20:00:00,Chicago,Bulls,1610612741,Milwaukee,Bucks,1610612749,91,112,1610612749,,21234.0,,
22400397,2024-12-23 19:30:00,New York,Knicks,1610612752,Toronto,Raptors,1610612761,139,125,1610612752,,19812.0,,
22400396,2024-12-23 19:30:00,Miami,Heat,1610612748,Brooklyn,Nets,1610612751,110,95,1610612748,,19832.0,,
22400395,2024-12-23 19:30:00,Atlanta,Hawks,1610612737,Minnesota,Timberwolves,1610612750,117,104,1610612737,,17051.0,,
22400394,2024-12-23 19:00:00,Philadelphia,76ers,1610612755,San Antonio,Spurs,1610612759,111,106,1610612755,,19986.0,,
22400393,2024-12-23 19:00:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,108,104,1610612753,,18846.0,,
22400392,2024-12-23 19:00:00,Cleveland,Cavaliers,1610612739,Utah,Jazz,1610612762,124,113,1610612739,,19432.0,,
22400391,2024-12-23 19:00:00,Charlotte,Hornets,1610612766,Houston,Rockets,1610612745,101,114,1610612745,,19134.0,,
22400390,2024-12-22 19:00:00,New Orleans,Pelicans,1610612740,Denver,Nuggets,1610612743,129,132,1610612743,,17474.0,,
22400389,2024-12-22 18:00:00,Sacramento,Kings,1610612758,Indiana,Pacers,1610612754,95,122,1610612754,,17832.0,,
22400388,2024-12-22 18:00:00,Toronto,Raptors,1610612761,Houston,Rockets,1610612745,110,114,1610612745,,19305.0,,
22400387,2024-12-21 21:00:00,Phoenix,Suns,1610612756,Detroit,Pistons,1610612765,125,133,1610612765,,17071.0,,
22400386,2024-12-21 20:30:00,San Antonio,Spurs,1610612759,Portland,Trail Blazers,1610612757,114,94,1610612759,,18354.0,,
22400385,2024-12-21 20:30:00,Dallas,Mavericks,1610612742,Los Angeles,Clippers,1610612746,113,97,1610612742,,20102.0,,
22400384,2024-12-21 20:00:00,New Orleans,Pelicans,1610612740,New York,Knicks,1610612752,93,104,1610612752,,16696.0,,
22400383,2024-12-21 20:00:00,Minnesota,Timberwolves,1610612750,Golden State,Warriors,1610612744,103,113,1610612744,,18978.0,,
22400382,2024-12-21 20:00:00,Milwaukee,Bucks,1610612749,Washington,Wizards,1610612764,112,101,1610612749,,17341.0,,
22400381,2024-12-21 20:00:00,Chicago,Bulls,1610612741,Boston,Celtics,1610612738,98,123,1610612738,,19803.0,,
22400380,2024-12-21 20:00:00,Cleveland,Cavaliers,1610612739,Philadelphia,76ers,1610612755,126,99,1610612739,,19432.0,,
22400379,2024-12-21 19:30:00,Brooklyn,Nets,1610612751,Utah,Jazz,1610612762,94,105,1610612762,,17926.0,,
22400378,2024-12-21 19:30:00,Atlanta,Hawks,1610612737,Memphis,Grizzlies,1610612763,112,128,1610612763,,16909.0,,
22400377,2024-12-21 19:00:00,Orlando,Magic,1610612753,Miami,Heat,1610612748,121,114,1610612753,,18080.0,,
22400376,2024-12-21 18:00:00,Sacramento,Kings,1610612758,Los Angeles,Lakers,1610612747,99,103,1610612747,,17832.0,,
22400375,2024-12-20 20:00:00,Miami,Heat,1610612748,Oklahoma City,Thunder,1610612760,97,104,1610612760,,19801.0,,
22400374,2024-12-20 19:30:00,Cleveland,Cavaliers,1610612739,Milwaukee,Bucks,1610612749,124,101,1610612739,,19432.0,,
22400373,2024-12-20 19:00:00,Philadelphia,76ers,1610612755,Charlotte,Hornets,1610612766,108,98,1610612755,,20291.0,,
22400372,2024-12-19 22:00:00,Sacramento,Kings,1610612758,Los Angeles,Lakers,1610612747,100,113,1610612747,,17832.0,,
22400371,2024-12-19 22:00:00,Portland,Trail Blazers,1610612757,Denver,Nuggets,1610612743,126,124,1610612757,,16753.0,,
22400367,2024-12-19 21:30:00,Minnesota,Timberwolves,1610612750,New York,Knicks,1610612752,107,133,1610612752,,18978.0,,
22400369,2024-12-19 21:00:00,Phoenix,Suns,1610612756,Indiana,Pacers,1610612754,111,120,1610612754,,17071.0,,
22400368,2024-12-19 20:30:00,Dallas,Mavericks,1610612742,Los Angeles,Clippers,1610612746,95,118,1610612746,,20044.0,,
22400370,2024-12-19 20:00:00,San Antonio,Spurs,1610612759,Atlanta,Hawks,1610612737,133,126,1610612759,,17852.0,,
22400366,2024-12-19 20:00:00,Memphis,Grizzlies,1610612763,Golden State,Warriors,1610612744,144,93,1610612763,,17729.0,,
22400365,2024-12-19 20:00:00,Houston,Rockets,1610612745,New Orleans,Pelicans,1610612740,133,113,1610612745,,18055.0,,
22400364,2024-12-19 19:30:00,Toronto,Raptors,1610612761,Brooklyn,Nets,1610612751,94,101,1610612751,,19214.0,,
22400363,2024-12-19 19:30:00,Boston,Celtics,1610612738,Chicago,Bulls,1610612741,108,117,1610612741,,19156.0,,
22400362,2024-12-19 19:00:00,Washington,Wizards,1610612764,Charlotte,Hornets,1610612766,123,114,1610612764,,15256.0,,
22400361,2024-12-19 19:00:00,Orlando,Magic,1610612753,Oklahoma City,Thunder,1610612760,99,105,1610612760,,18896.0,,
22400360,2024-12-19 19:00:00,Detroit,Pistons,1610612765,Utah,Jazz,1610612762,119,126,1610612762,,18022.0,,
62400001,2024-12-17 20:30:00,Oklahoma City,Thunder,1610612760,Milwaukee,Bucks,1610612749,81,97,1610612749,,18519.0,,
22401226,2024-12-16 22:30:00,Los Angeles,Clippers,1610612746,Utah,Jazz,1610612762,144,107,1610612746,,14651.0,,
22401225,2024-12-16 22:00:00,Sacramento,Kings,1610612758,Denver,Nuggets,1610612743,129,130,1610612743,,16936.0,,
22401224,2024-12-16 19:30:00,Brooklyn,Nets,1610612751,Cleveland,Cavaliers,1610612739,101,130,1610612739,,16588.0,,
22401223,2024-12-16 19:30:00,Toronto,Raptors,1610612761,Chicago,Bulls,1610612741,121,122,1610612741,,16324.0,,
22401222,2024-12-16 19:00:00,Charlotte,Hornets,1610612766,Philadelphia,76ers,1610612755,108,121,1610612755,,14677.0,,
22401221,2024-12-16 19:00:00,Detroit,Pistons,1610612765,Miami,Heat,1610612748,125,124,1610612765,,17810.0,,
22401220,2024-12-15 21:30:00,Los Angeles,Lakers,1610612747,Memphis,Grizzlies,1610612763,116,110,1610612747,,15106.0,,
22401228,2024-12-15 20:30:00,Golden State,Warriors,1610612744,Dallas,Mavericks,1610612742,133,143,1610612742,,18064.0,,
22401219,2024-12-15 20:00:00,Phoenix,Suns,1610612756,Portland,Trail Blazers,1610612757,116,109,1610612756,,17071.0,,
22401218,2024-12-15 19:00:00,San Antonio,Spurs,1610612759,Minnesota,Timberwolves,1610612750,92,106,1610612750,,16816.0,,
22401227,2024-12-15 18:00:00,Orlando,Magic,1610612753,New York,Knicks,1610612752,91,100,1610612752,,17029.0,,
22401217,2024-12-15 18:00:00,Washington,Wizards,1610612764,Boston,Celtics,1610612738,98,112,1610612738,,16227.0,,
22401216,2024-12-15 17:00:00,Indiana,Pacers,1610612754,New Orleans,Pelicans,1610612740,119,104,1610612754,,16792.0,,
22401230,2024-12-14 20:30:00,Oklahoma City,Thunder,1610612760,Houston,Rockets,1610612745,111,96,1610612760,,17937.0,,
